,Gender,Pevious semester mark percentage,Number of Arrear papers, Using mobile phone for non-academic purposes,Interfere with your sleeping?,Before going to sleep/just after waking up ,Survive without mobilephone,Usage is more in ,Screening time,Distracted during class or while studying,Check phone during class,Use phone late at night (exam the next day),Unable to focus in class due to lack of sleep caused by phone usage,Headaches or eye strain as a result of excessive phone use,Anxiety,Depression,Sleep disturbances,Social isolation,Attention and concentration difficulties,Irritability and aggression,Impaired cognitive functioning ,Low self-esteem,Addiction,cluster
0,Male,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Often,No,Yes,Yes,No,0,0,1,0,0,0,0,0,0,1
1,Male,50% - 70%,0,2 hours,No,No,No,Basic purposes ( Calls ),Less than 1 hour,Only when it is necessary,Yes,No,Yes,Yes,0,0,1,0,0,0,0,0,0,0
2,Male,70% - 90%,0,2 hours,No,Yes,Yes,Social media,Less than 1 hour,Very often,No,No,No,Yes,0,0,1,0,0,0,0,0,0,0
3,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Gaming,1-3 hours,Very often,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0
4,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,No,No,No,0,0,0,1,0,0,0,0,1,0
5,Male,Above 90%,0,More than 4 hours,Yes,Yes,No,Gaming,3-5 hours,Often,Yes,Yes,No,Yes,0,0,1,0,0,0,1,0,1,1
6,Male,70% - 90%,0,More than 4 hours,No,No,Yes,Basic purposes ( Calls ),More than 5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
7,Male,70% - 90%,0,2 hours,Sometimes,Yes,No,Social media,Less than 1 hour,Often,Yes,Yes,Yes,Yes,0,1,1,0,0,0,0,0,1,1
8,Male,70% - 90%,1,More than 4 hours,Yes,Yes,No,Social media,3-5 hours,Very often,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,0,0,1
9,Male,50% - 70%,0,More than 4 hours,Yes,Yes,Yes,Social media,More than 5 hours,Often,Yes,No,No,Yes,1,0,1,0,1,0,0,0,1,1
10,Male,50% - 70%,above 4,More than 4 hours,Sometimes,Yes,Yes,Social media,More than 5 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
11,Male,70% - 90%,0,1 hour,Yes,Yes,No,Academic works,1-3 hours,Only when it is necessary,Yes,No,Yes,Yes,0,0,1,0,1,0,0,0,1,1
12,Male,Below 50%,0,2 hours,Yes,Yes,Yes,Basic purposes ( Calls ),1-3 hours,Only when it is necessary,Yes,Yes,Yes,No,0,0,1,0,0,0,0,0,0,1
13,Male,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,Yes,Yes,1,0,1,0,1,0,0,0,0,1
14,Male,50% - 70%,0,3 hours,Sometimes,No,Yes,Social media,Less than 1 hour,Always,No,No,No,No,0,0,0,0,0,0,0,0,0,0
15,Male,70% - 90%,above 4,3 hours,No,No,No,Gaming,1-3 hours,Often,No,No,No,No,0,0,0,0,0,0,0,0,0,0
16,Male,70% - 90%,0,2 hours,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
17,Male,70% - 90%,0,1 hour,Yes,Yes,Yes,Social media,More than 5 hours,Only when it is necessary,No,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1,1
18,Male,70% - 90%,0,2 hours,Sometimes,No,Yes,Social media,1-3 hours,Very often,No,No,No,Yes,0,0,0,1,0,1,0,0,1,0
19,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,3-5 hours,Often,Yes,No,Yes,Yes,0,0,0,0,0,0,0,0,0,1
20,Male,Above 90%,0,3 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Often,No,No,No,Yes,0,0,1,0,1,0,1,0,0,0
21,Male,Above 90%,0,1 hour,Yes,Yes,No,Social media,1-3 hours,Only when it is necessary,Yes,Yes,No,No,0,1,1,0,0,0,0,1,1,1
22,Male,70% - 90%,0,2 hours,Yes,No,Yes,Social media,3-5 hours,Often,No,Yes,Yes,Yes,0,1,0,1,1,1,0,1,1,1
23,Male,70% - 90%,0,More than 4 hours,Yes,Yes,Yes,Social media,3-5 hours,Often,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0
24,Male,70% - 90%,0,3 hours,Sometimes,Yes,No,Gaming,1-3 hours,Often,Yes,Yes,No,Yes,0,0,1,0,0,0,0,1,1,1
25,Male,70% - 90%,above 4,1 hour,Sometimes,Yes,Yes,Social media,1-3 hours,Often,No,No,No,Yes,1,1,0,1,1,0,0,0,1,0
